GYR_X,GYR_Y,GYR_Z
0.10516157,-0.41125864,0.30286798
0.09450893,-0.25786057,0.2847585
0.06468152,-0.09274458,0.24108265
0.055094145,-0.028828718,0.20912473
0.17973009,0.009520801,0.19634154
0.45989463,-0.11191934,0.16438362
0.8146277,-0.43789026,0.081292994
1.2023839,-0.68609685,-0.033755567
1.5667044,-0.81499386,-0.10406302
1.798932,-0.78303593,-0.009254484
1.4569821,-0.78836226,0.26877952
-0.07380285,-1.2964934,0.43815657
-1.7515943,-1.56494,0.63736105
-2.6591997,-1.2815797,0.94841826
-2.5558689,-1.2592092,0.95480984
-1.117762,-0.78623176,0.9239172
0.98507,0.18955049,0.7151253
2.6841667,0.37277597,0.40513337
3.8953724,-0.40912813,0.080227725
3.7398438,-0.5412209,0.030160299
1.6316855,-1.0877016,0.28262797
-1.0783472,-0.7532085,0.10366354
-2.8402946,-0.60620207,-0.2606569
-3.4442995,-1.1271163,-0.02949451
-3.0469558,-0.8362992,0.2911501
-1.1358715,0.55280566,0.49568087
1.1778829,1.2420317,0.452005
3.0410304,0.35147068,0.1409478
3.8527617,-0.9875667,-0.24787372
3.2711275,-0.7436212,-0.25000423
1.4729611,-1.1239206,0.15160045
-0.72361416,-0.32497224,-0.2606569
-2.2043316,0.065979816,-0.21165472
-2.4663868,-0.17796575,-0.10832407
-2.1883528,-0.054395065,-0.017776601
-1.1880695,0.4196476,0.16118783
0.3799998,0.9117998,0.38169757
1.3973273,-0.022437133,0.26877952
1.4356768,-1.105811,0.017377125
0.9520468,-0.36971334,0.25812688
0.4662862,0.89262503,0.6267084
-0.08232497,1.3581456,0.4552008
-0.3294663,1.2846423,0.2943459
-0.16541559,1.6031563,0.36145753
-0.08765129,3.0955918,0.33695644
-0.07273759,4.0394163,0.43709132
0.13925004,5.057809,0.31032485
0.28412598,5.939848,0.081292994
-0.0066911923,5.7619486,-0.057191383
-0.4136222,5.716142,-0.34800857
-0.62880564,6.3808675,-0.64947844
-0.6117614,7.2511883,-0.74109113
-0.45410225,7.1180305,-0.67824054
-0.18352509,5.5169377,-0.8486829
0.07959522,3.978696,-0.9765146
0.34484607,3.4215627,-0.5962152
0.26069018,3.4822829,-0.14241254
-0.015213308,2.9624338,0.0930109
-0.27407256,1.907822,0.31884697
-0.50736547,0.85427547,0.39767653
-0.48499492,0.35360122,0.5510746
-0.26448518,0.031891353,0.766258
-0.038649123,-0.89382344,0.4914198
0.17440376,-1.5830495,-0.26172215
0.04231097,-0.82138544,-0.7719838
-0.031192275,0.36531913,-0.20313261
-0.063150205,1.7746639,0.0780972
0.099835254,2.2764034,0.2730406
0.15309848,2.1230054,0.24108265
0.14351109,1.4412361,-0.2777011
0.38958716,0.54321826,-0.5695836
0.6069011,-0.4485429,-0.38848862
0.66016436,-0.843756,-0.39594546
0.68892646,-1.5180684,-0.07317035
0.85830355,-3.437675,0.33056486
1.2151672,-5.900566,0.45307028
1.4559169,-7.676362,0.13988253
1.8117152,-8.849218,0.048269793
1.859652,-8.348544,0.13881727
1.5912055,-6.795388,0.19314575
1.3334115,-5.6193366,0.08874984
1.0852048,-5.142098,0.1079246
0.6899918,-4.9386325,0.061052967
0.14883742,-4.7458196,0.00885501
-0.30389997,-4.6360974,0.11218566
-0.44238433,-3.6209004,0.098337226
-0.41788325,-1.3870409,-0.10938934
-0.21548302,0.35360122,-0.25106952
-0.0993692,0.8532102,-0.3320296
-0.19098194,0.054261908,-0.34481278
-0.28046414,-1.14203,-0.2936801
-0.18139456,-1.8280604,-0.48755822
-0.12813133,-1.3476261,-0.37570545
-0.31029156,0.34720963,-0.22337264
-0.5350624,1.8204703,-0.031625036
-0.57660764,1.7725334,0.34228277
-0.69591725,0.3035338,0.4583966
-0.8056395,-0.61898524,0.16438362
-0.5276055,-0.19181417,0.19634154
0.100900516,0.41858235,0.33908698
0.53765893,1.4135393,0.31671643
0.54298526,2.0281968,0.41685128
0.27879968,2.2231402,0.5904894
0.10516157,2.294513,0.7066032
0.12753212,2.6353977,0.6064684
0.13605425,3.1296804,0.27943218
0.07959522,3.7837527,0.009920275
-0.107891314,3.9307592,-0.16584836
-0.43279696,3.784818,-0.46838346
-0.6479804,3.7699041,-0.6143247
-0.7406584,4.5912232,-0.65587
-0.6522414,5.9014983,-0.51418984
-0.48925596,6.163553,0.07064035
-0.3710116,4.80108,0.57344514
-0.55636764,3.2383373,0.3294996
-0.7406584,1.9493673,0.042943474
-0.8642291,2.1464412,0.3508049
-0.82055324,2.1240706,0.72897375
-0.61495715,1.3954298,0.8003465
-0.35929373,-0.3622565,0.3145859
-0.23252726,-1.5170032,-0.5397562
-0.29005152,-0.5263072,-0.63136894
-0.3156179,1.0833074,0.10259828
-0.18991667,1.8779947,0.3710449
0.035919383,1.5040869,0.21338578
0.4247409,0.2161821,-0.29154956
0.82847613,-0.4421513,-0.5397562
0.8380635,-1.3742577,-0.11578093
0.7560381,-2.7175562,-0.057191383
0.92541516,-4.186556,-0.1136504
1.2939967,-5.440372,-0.0657135
1.4985274,-5.957025,0.098337226
1.7307551,-6.847586,0.3657186
1.8138458,-7.645469,0.37956703
1.710515,-7.289671,0.23575634
1.3781526,-6.265952,-0.015646072
0.97122157,-4.691491,-0.035886094
0.5909222,-2.4629579,-0.016711336
0.13285846,-0.2866227,-0.10512828
-0.416818,0.9746504,-0.13282515
-0.63945824,1.4476278,-0.26491794
-0.61495715,0.562393,-0.24574319
-0.67567724,-0.49221873,-0.30646327
-0.7811384,-1.0482868,-0.114715666
-0.70337415,-1.2368386,0.12816462
-0.2932473,-1.468001,0.17823206
0.3917177,-1.2165985,0.0930109
0.95311207,-0.22909842,0.12816462
0.42047983,-0.67544425,0.17929731
-0.8748817,-0.6562695,0.15373097
-1.8165754,-0.6882274,0.40832916
-2.1116538,-1.1601396,0.52018195
-1.7089838,-1.1963586,0.48715875
-0.31881368,-0.7723833,0.2996722
1.2183629,-0.6200505,0.05892244
2.2996063,-0.5912883,-0.060387176
2.6021414,-0.45706502,-0.13815148
1.8127805,0.6327005,0.08981511
0.546181,0.4377571,0.2730406
-0.6596983,0.08089352,0.19634154
-1.2232232,0.2822285,0.21125525
-1.2615727,0.4622582,0.266649
-1.0037787,0.36212334,0.28688902
-0.58832556,0.2758369,0.11644672
0.0018309233,0.48888978,0.06424876
0.6580338,0.5645236,0.07170561
1.077748,0.9320398,-0.025233451
1.2971925,1.6202006,0.042943474
1.4058495,1.8439062,0.19953734
1.4569821,1.6532239,0.27197534
1.5081148,1.2601413,0.36465332
1.4612432,0.6113952,0.43922183
1.3025188,0.19274628,0.42111236
1.0947922,0.064914554,0.42750394
0.76775604,-0.16944362,0.44454816
0.40343562,-0.27597007,0.35719648
0.2511028,-0.12470252,0.41259024
0.18612167,-0.2663827,0.4104597
0.15203321,-0.70207584,0.31671643
0.12966265,-1.0866363,0.22616896
0.11794475,-1.2901018,0.1824931
0.08811734,-1.508481,0.12922989
0.016744625,-1.6970328,0.057857174
-0.054628093,-2.012351,0.054661382
-0.10469552,-2.3244736,0.080227725
-0.14304504,-2.3819978,0.1228383
-0.20909144,-1.9974374,0.2006026
-0.2762031,-1.085571,0.19634154
-0.2793989,0.010586065,0.1707752
-0.24211463,0.7701196,0.16118783
-0.23359251,0.83190495,0.11218566
-0.24424516,0.5304351,0.03442136
-0.26235464,0.2428137,-0.0017976337
-0.24957149,0.16398415,-0.022037657
-0.21548302,0.3056643,-0.047604006
-0.19311246,0.4739761,-0.06358297
-0.21335249,0.48782453,-0.024168186
-0.25702834,0.5123256,0.007789746
-0.23891884,0.78077227,0.0056592175
