ACC_X,ACC_Y,ACC_Z
0.93972415,-0.5267244,10.187328
0.91338795,-0.5231331,10.150218
0.9744401,-0.5470751,10.225636
1.0546459,-0.59136784,10.111911
1.0342951,-0.5386954,10.103531
0.94570965,-0.5470751,10.171766
0.93493575,-0.5446809,10.176555
0.93254155,-0.5530606,10.096349
1.0007763,-0.5566519,10.18254
1.0067618,-0.5614403,10.133459
0.9816227,-0.5398925,10.15381
0.93613285,-0.5638345,10.200497
0.9888053,-0.5590461,10.1621895
1.009156,-0.5542577,10.113108
0.9516952,-0.5303157,10.155006
0.94211835,-0.5506664,10.175357
0.9947908,-0.5626374,10.123882
0.9864111,-0.5422867,10.132261
0.9552865,-0.5686229,10.141838
0.9720459,-0.5386954,10.147824
0.9900024,-0.557849,10.13705
0.9911995,-0.5494693,10.127473
0.9684546,-0.5410896,10.151415
0.9792285,-0.5758055,10.168175
0.9983821,-0.5351041,10.133459
0.9576807,-0.5291186,10.109517
0.94930094,-0.5602432,10.151415
1.0127473,-0.5614403,10.171766
1.009156,-0.5614403,10.177752
0.973243,-0.5674258,10.123882
0.9552865,-0.5351041,10.13705
0.9792285,-0.5422867,10.164583
0.93493575,-0.5303157,10.143036
0.93972415,-0.5482722,10.140641
0.9744401,-0.58777654,10.171766
1.0402806,-0.5734113,10.126276
0.9900024,-0.5279215,10.111911
0.9828198,-0.557849,10.156203
0.94810385,-0.5602432,10.134656
0.93014735,-0.5518635,10.127473
0.9528923,-0.5434838,10.160992
0.9720459,-0.545878,10.146626
1.0043676,-0.5518635,10.121488
1.0007763,-0.5542577,10.152613
0.9816227,-0.5566519,10.169372
0.973243,-0.5542577,10.171766
0.94211835,-0.5518635,10.075998
0.9552865,-0.5530606,10.1621895
0.9959879,-0.5602432,10.14543
1.0079589,-0.5566519,10.110714
0.9588778,-0.5446809,10.152613
0.9756372,-0.5614403,10.163386
0.9840169,-0.5494693,10.15381
0.94570965,-0.5291186,10.170568
0.9636662,-0.5482722,10.149021
0.985214,-0.5650316,10.160992
0.997185,-0.5674258,10.109517
0.9876082,-0.5506664,10.157401
1.0295067,-0.533907,10.175357
1.0223241,-0.5554548,10.105926
0.9828198,-0.5542577,10.155006
0.9947908,-0.5674258,10.144233
0.9864111,-0.5434838,10.158598
0.973243,-0.5398925,10.183737
0.9768343,-0.5566519,10.19092
1.0151415,-0.5590461,10.144233
0.9995792,-0.5674258,10.121488
0.9708488,-0.557849,10.188525
0.94570965,-0.5638345,10.172963
0.9576807,-0.5494693,10.131064
0.9995792,-0.5518635,10.159795
1.0881647,-0.5662287,10.164583
1.0749966,-0.5554548,10.123882
1.0103531,-0.5554548,10.097546
0.93254155,-0.56982,10.225636
0.92655605,-0.5662287,10.204087
0.9576807,-0.5662287,10.108319
0.9720459,-0.5662287,10.1226845
0.9780314,-0.5482722,10.177752
0.9564836,-0.5422867,10.129868
0.9840169,-0.5422867,10.147824
0.9564836,-0.5327099,10.103531
0.9564836,-0.5542577,10.152613
1.0055647,-0.5662287,10.160992
0.9947908,-0.5530606,10.113108
0.9923966,-0.5650316,10.13705
1.0199299,-0.5590461,10.17416
1.0163386,-0.521936,10.131064
0.9636662,-0.50517654,10.159795
0.9540894,-0.5494693,10.199299
0.9756372,-0.5554548,10.159795
1.0175357,-0.5315128,10.111911
1.0187328,-0.5710171,10.172963
0.9923966,-0.5482722,10.144233
0.9504981,-0.5446809,10.064027
0.9768343,-0.5650316,10.177752
1.0007763,-0.5530606,10.159795
0.9660604,-0.545878,10.134656
0.9876082,-0.557849,10.168175
0.9720459,-0.5542577,10.149021
0.9660604,-0.5542577,10.147824
0.9923966,-0.5554548,10.140641
0.9959879,-0.5303157,10.1621895
0.9672575,-0.5422867,10.135853
0.9588778,-0.5614403,10.16578
0.9888053,-0.5494693,10.146626
0.9768343,-0.5781997,10.171766
0.9828198,-0.5542577,10.155006
0.9804256,-0.5363012,10.1621895
0.9672575,-0.5363012,10.135853
0.9876082,-0.5674258,10.141838
0.9888053,-0.5710171,10.131064
0.985214,-0.5494693,10.135853
0.94930094,-0.5434838,10.159795
0.93014735,-0.5494693,10.178948
1.0019734,-0.5650316,10.170568
1.0115502,-0.5626374,10.147824
1.009156,-0.5518635,10.1621895
0.9540894,-0.533907,10.144233
0.9768343,-0.5518635,10.171766
0.92775315,-0.5410896,10.113108
0.92535895,-0.5446809,10.158598
0.9516952,-0.5686229,10.172963
1.0666169,-0.5686229,10.159795
1.0366893,-0.5351041,10.135853
0.93014735,-0.5554548,10.158598
0.89064306,-0.5398925,10.172963
0.973243,-0.5590461,10.196905
1.0067618,-0.5506664,10.143036
0.9672575,-0.5662287,10.180145
0.93732995,-0.545878,10.1861315
